day,facility,free_slots,n_start,n_waiting,contested,fifo,survival_index,adaptive_mpc,agree_index_vs_mpc,agree_fifo_vs_mpc,obj_mpc_choice,obj_index_choice
80,m1,2,2,29,True,p25r2|p7r3,p24r1|p24r3,p24r1|p24r3,True,False,,
80,m3,1,1,53,True,p4r2,p36r3,p36r3,True,False,,
81,m3,1,1,53,True,p4r2,p18r0,p18r0,True,False,,
82,m1,1,1,27,True,p7r3,p24r2,p24r2,True,False,,
82,m3,2,2,52,True,p25r1|p4r2,p30r3|p36r2,p30r3|p36r2,True,False,,
83,m3,3,3,50,True,p25r1|p38r1|p4r2,p30r0|p30r1|p40r1,p30r0|p30r1|p40r1,True,False,,
84,m1,1,1,26,True,p7r3,p36r1,p36r1,True,False,,
84,m3,1,1,47,True,p4r2,p30r2,p40r3,False,False,0.06516959369227404,0.06516959369227404
85,m3,2,2,46,True,p25r1|p4r2,p10r3|p30r2,p10r3|p30r2,True,False,,
87,m1,2,2,25,True,p25r2|p7r3,p40r0|p40r2,p40r0|p40r2,True,False,,
87,m3,1,1,46,True,p4r2,p47r2,p47r2,True,False,,
88,m3,1,1,45,True,p4r2,p47r0,p47r0,True,False,,
89,m1,1,1,23,True,p7r3,p16r3,p16r3,True,False,,
89,m3,2,2,44,True,p25r1|p4r2,p16r2|p43r0,p16r2|p43r0,True,False,,
90,m3,3,3,43,True,p25r1|p38r1|p4r2,p18r1|p27r2|p4r2,p18r1|p27r2|p4r2,True,False,,
91,m1,1,1,23,True,p7r3,p47r1,p47r1,True,False,,
91,m3,1,1,40,True,p25r1,p17r2,p17r2,True,False,,
92,m3,2,2,39,True,p25r1|p38r1,p17r3|p45r0,p45r0|p9r3,False,False,0.016829162223791938,0.016829162223791938
94,m1,2,2,23,True,p25r2|p7r3,p13r3|p22r3,p13r3|p22r3,True,False,,
94,m3,1,1,38,True,p25r1,p42r3,p42r3,True,False,,
95,m3,1,1,37,True,p25r1,p17r3,p17r3,True,False,,
96,m1,1,1,21,True,p7r3,p19r1,p19r1,True,False,,
96,m3,2,2,36,True,p25r1|p38r1,p45r1|p9r1,p45r1|p9r1,True,False,,
97,m3,3,3,34,True,p25r1|p38r1|p38r2,p17r1|p26r1|p9r0,p17r1|p26r1|p9r0,True,False,,
98,m1,1,1,20,True,p7r3,p12r0,p12r0,True,False,,
98,m3,1,1,32,True,p25r1,p18r0,p18r0,True,False,,
99,m3,2,2,32,True,p25r1|p38r1,p26r3|p36r2,p17r0|p36r2,False,False,0.029126480902867513,0.029126480902867513
101,m1,2,2,20,True,p25r2|p7r3,p36r1|p4r0,p36r1|p4r0,True,False,,
101,m3,1,1,30,True,p25r1,p26r3,p26r3,True,False,,
102,m3,1,1,30,True,p25r1,p10r3,p10r3,True,False,,
103,m1,1,1,18,True,p7r3,p7r3,p7r3,True,True,,
103,m3,2,2,29,True,p25r1|p38r1,p23r0|p9r2,p23r0|p9r2,True,False,,
104,m3,3,3,27,True,p25r1|p38r1|p38r2,p20r0|p23r1|p26r0,p20r0|p23r1|p26r0,True,False,,
105,m1,1,1,19,True,p25r2,p40r0,p40r0,True,False,,
105,m3,1,1,24,True,p25r1,p20r1,p20r1,True,False,,
106,m3,2,2,24,True,p25r1|p38r1,p20r2|p43r0,p20r2|p43r0,True,False,,
108,m1,2,2,18,True,p25r2|p25r3,p27r0|p40r2,p27r1|p40r2,False,False,0.02243863045942618,0.02243863045942618
108,m3,1,1,22,True,p25r1,p20r3,p20r3,True,False,,
